# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.347915267944335938e+01 1.144172437489032745e-02 4.917011642456054688e+01 1.144172437489032745e-02 9.334370493888854980e-01
1.000000000000000000e+03 1.373516512103378773e-03 4.435142182046547532e-05 1.265542465262115002e-03 4.435142182046547532e-05 6.022235844284296036e-03
2.000000000000000000e+03 8.914485079003497958e-05 2.156396249120007269e-06 1.133291443693451583e-04 2.156396249120007269e-06 1.402983325533568859e-03
3.000000000000000000e+03 1.138286752393469214e-04 1.122912544815335423e-05 7.841178012313321233e-05 1.122912544815335423e-05 3.144430462270975113e-03
4.000000000000000000e+03 4.152953624725341797e-04 2.392149508523289114e-05 3.555962466634809971e-04 2.392149508523289114e-05 4.943534731864929199e-03
5.000000000000000000e+03 2.489799808245152235e-04 4.368433110357727855e-06 3.210127470083534718e-04 4.368433110357727855e-06 3.211472183465957642e-03
6.000000000000000000e+03 2.559138694778084755e-03 8.674836863065138459e-05 2.114634029567241669e-03 8.674836863065138459e-05 9.700811468064785004e-03
7.000000000000000000e+03 1.584128949616570026e-05 7.350592312604931067e-08 4.182865814073011279e-05 7.350592312604931067e-08 2.752484870143234730e-04
8.000000000000000000e+03 1.672435791988391429e-05 7.157451165085149114e-08 4.385934516903944314e-05 7.157451165085149114e-08 2.877513761632144451e-04
9.000000000000000000e+03 4.052300646435469389e-04 3.649251448223367333e-05 3.734141646418720484e-04 3.649251448223367333e-05 5.360246635973453522e-03
1.000000000000000000e+04 1.826973049901425838e-03 1.041988871293142438e-04 1.635645050555467606e-03 1.041988871293142438e-04 7.807552814483642578e-03
